"","Var1","Freq"
"1","",918
"2","AED",133
"3","AUD",1339
"4","BHD",1
"5","BND",4
"6","BRL",4
"7","CAD",96
"8","CHF",62
"9","CNY",3745
"10","CZK",80
"11","DKK",26
"12","EGP",1
"13","ETB",1
"14","EUR",1930
"15","GBP",859
"16","HKD",2450
"17","IDR",15
"18","ILS",1
"19","INR",645
"20","ISK",2
"21","JOD",2
"22","JPY",6784
"23","KRW",109
"24","KWD",314
"25","MOP",12
"26","MXN",3
"27","MYR",1463
"28","NOK",27
"29","NZD",79
"30","PHP",49
"31","PLN",173
"32","QAR",1
"33","SAR",15
"34","SDG",18
"35","SEK",69
"36","SGD",872
"37","THB",357
"38","TWD",48
"39","UGX",1
"40","USD",28663
"41","VND",1
