"","Var1","Freq"
"1","1",918
"2","2",228
"3","3",81
"4","4",3
"5","5",1
"6","6",1
"7","7",1
"8","8",2
"9","9",1
"10","10",1
"11","11",2
"12","12",1
"13","13",1
"14","14",1
"15","15",300
"16","16",1
"17","17",104
"18","18",21
"19","19",9
"20","20",6
"21","21",4
"22","22",4
"23","23",1
"24","24",1
"25","25",1
"26","26",1
"27","27",1
"28","28",1
"29","29",1
"30","30",3
"31","31",1
"32","32",1
"33","33",1
"34","34",1
"35","35",1
"36","36",2
"37","37",1
"38","38",1
"39","39",1
"40","40",46
"41","41",1
"42","42",1
"43","43",2
"44","44",1
"45","45",2
"46","46",1
"47","47",23
"48","48",1
"49","49",1
"50","50",13
"51","51",1
"52","52",1
"53","53",1
"54","54",1
"55","55",28
"56","56",4
"57","57",1
"58","58",2
"59","59",2
"60","60",1
"61","61",1
"62","62",15
"63","63",4
"64","64",1
"65","65",1
"66","66",1
"67","67",8
"68","68",1
"69","69",1
"70","70",21
"71","71",2
"72","72",1
"73","73",1
"74","74",1
"75","75",1
"76","76",3
"77","77",1
"78","78",1
"79","79",1153
"80","80",18
"81","81",2
"82","82",1
"83","83",1
"84","84",109
"85","85",1
"86","86",28
"87","87",8
"88","88",3
"89","89",2
"90","90",1
"91","91",1
"92","92",1
"93","93",2
"94","94",2
"95","95",1
"96","96",1
"97","97",1
"98","98",1
"99","99",1
"100","100",1
"101","101",1
"102","102",19
"103","103",6
"104","104",3
"105","105",1
"106","106",3
"107","107",1
"108","108",3
"109","109",1
"110","110",1
"111","111",1
"112","112",14
"113","113",1
"114","114",1
"115","115",1
"116","116",1
"117","117",1
"118","118",9
"119","119",1
"120","120",1
"121","121",1
"122","122",21
"123","123",1
"124","124",1
"125","125",7
"126","126",2
"127","127",1
"128","128",2
"129","129",5
"130","130",3
"131","131",1
"132","132",15
"133","133",1
"134","134",1
"135","135",1
"136","136",1
"137","137",1
"138","138",433
"139","139",16
"140","140",2
"141","141",3
"142","142",56
"143","143",13
"144","144",4
"145","145",1
"146","146",1
"147","147",1
"148","148",3
"149","149",1
"150","150",1
"151","151",1
"152","152",1
"153","153",1
"154","154",1
"155","155",1
"156","156",13
"157","157",1
"158","158",1
"159","159",1
"160","160",1
"161","161",1
"162","162",1
"163","163",11
"164","164",1
"165","165",1
"166","166",8
"167","167",1
"168","168",4
"169","169",6
"170","170",1
"171","171",1
"172","172",2
"173","173",5
"174","174",2
"175","175",326
"176","176",18
"177","177",28
"178","178",8
"179","179",1
"180","180",1
"181","181",1
"182","182",1
"183","183",1
"184","184",1
"185","185",1
"186","186",2
"187","187",1
"188","188",1
"189","189",2
"190","190",1
"191","191",2
"192","192",1
"193","193",1
"194","194",1
"195","195",305
"196","196",21
"197","197",1
"198","198",2
"199","199",1
"200","200",4
"201","201",1
"202","202",1
"203","203",1
"204","204",1
"205","205",1
"206","206",1
"207","207",1
"208","208",2
"209","209",1
"210","210",2
"211","211",2
"212","212",1
"213","213",197
"214","214",15
"215","215",1
"216","216",2
"217","217",1
"218","218",1
"219","219",1
"220","220",1
"221","221",1
"222","222",2
"223","223",1
"224","224",1
"225","225",1
"226","226",1
"227","227",74
"228","228",11
"229","229",1
"230","230",1
"231","231",3
"232","232",2
"233","233",1
"234","234",66
"235","235",18
"236","236",1
"237","237",1
"238","238",1
"239","239",1
"240","240",1
"241","241",4
"242","242",39
"243","243",5
"244","244",1
"245","245",1
"246","246",1
"247","247",1
"248","248",44390
"249","249",9
"250","250",12
"251","251",1
"252","252",6
"253","253",4
"254","254",2
"255","255",1
"256","256",1
"257","257",1
"258","258",1
"259","259",1
"260","260",31
"261","261",1
"262","262",10
"263","263",2
"264","264",1
"265","265",1
"266","266",1
"267","267",1
"268","268",1
"269","269",1
"270","270",1
"271","271",1
"272","272",1
"273","273",1
"274","274",1
"275","275",1
"276","276",2
"277","277",1
"278","278",8
"279","279",1
"280","280",3
"281","281",1
"282","282",1
"283","283",1
"284","284",1
"285","285",1
"286","286",1
"287","287",1
"288","288",8
"289","289",2
"290","290",1
"291","291",1
"292","292",5
"293","293",1
"294","294",2
"295","295",1
"296","296",4
"297","297",1
"298","298",2
"299","299",1
"300","300",962
"301","301",1
"302","302",4
"303","303",1
"304","304",2
"305","305",1
"306","306",1
"307","307",1
"308","308",1
"309","309",5
"310","310",1
"311","311",2
"312","312",1
"313","313",1
"314","314",1
"315","315",1
"316","316",1
"317","317",2
"318","318",1
"319","319",1
"320","320",4
"321","321",1
"322","322",1
"323","323",1
"324","324",329
"325","325",1
"326","326",2
"327","327",1
"328","328",1
"329","329",1
"330","330",1
"331","331",1
"332","332",2
"333","333",1
"334","334",1
"335","335",1
"336","336",1
"337","337",1
"338","338",1
"339","339",141
"340","340",2
"341","341",1
"342","342",1
"343","343",1
"344","344",1
"345","345",1
"346","346",1
"347","347",1
"348","348",72
"349","349",1
"350","350",1
"351","351",1
"352","352",1
"353","353",1
"354","354",1
"355","355",42
"356","356",1
"357","357",1
"358","358",14
"359","359",1
"360","360",7
"361","361",4
"362","362",1
