"","Var1","Freq"
"1","",1945
"2","AED",2
"3","ARN",6
"4","AUD",1461
"5","BHD",4
"6","BRL",5
"7","CAD",9
"8","CHP",1
"9","CNY",12856
"10","CZK",162
"11","DHS",217
"12","DKK",43
"13","EGP",3
"14","EUR",1022
"15","GBP",18
"16","HKD",6516
"17","IDR",543
"18","INR",1785
"19","JPY",27
"20","JYE",8418
"21","KRW",13
"22","KUD",353
"23","MOP",12
"24","MWK",3
"25","MYR",2388
"26","NOK",42
"27","NTD",117
"28","NZD",151
"29","OMR",1
"30","PHP",806
"31","PLN",384
"32","SEK",116
"33","SFR",15
"34","SGD",21
"35","SID",2304
"36","THB",2393
"37","UKL",844
"38","USD",182
"39","VND",912
"40","WON",5272
