"","Var1","Freq"
"1","",908
"2","AE",204
"3","AM",3
"4","AO",3
"5","AT",5
"6","AU",1443
"7","BD",39
"8","BE",223
"9","BG",104
"10","BH",3
"11","BN",1
"12","BR",6
"13","BY",1
"14","CA",8
"15","CH",24
"16","CI",2
"17","CN",13182
"18","CW",1
"19","CY",6
"20","CZ",168
"21","DE",86
"22","DK",55
"23","DO",2
"24","EE",2
"25","EG",5
"26","ES",14
"27","FI",77
"28","FR",24
"29","GB",971
"30","GH",2
"31","GR",1
"32","GU",5
"33","HK",6452
"34","HN",1
"35","HR",3
"36","HT",1
"37","ID",516
"38","IE",80
"39","IL",3
"40","IN",1824
"41","IS",4
"42","IT",25
"43","JO",12
"44","JP",8495
"45","KE",1
"46","KR",5271
"47","KW",339
"48","LB",8
"49","LK",43
"50","LU",6
"51","LV",1
"52","MA",16
"53","MO",16
"54","MT",21
"55","MX",3
"56","MY",2317
"57","NL",648
"58","NO",42
"59","NZ",131
"60","PA",1
"61","PH",768
"62","PK",186
"63","PL",391
"64","PR",2
"65","PT",1
"66","QA",5
"67","RO",1
"68","RS",30
"69","SA",11
"70","SE",118
"71","SG",2305
"72","SK",3
"73","TH",2361
"74","TN",1
"75","TR",3
"76","TT",3
"77","TW",125
"78","UA",43
"79","US",259
"80","VN",895
"81","ZA",3
